"","unknown","joy","sadness","anger","surprise","fear","disgust"
"congbjp",0,1,0,0,0,0,0
"congi",3,0,0,0,0,0,0
"congrat",0,1,0,0,0,0,0
"congratul",0,1,0,0,0,0,0
"congress",71,2,4,1,1,0,0
"congressmen",1,0,0,0,0,0,0
"congresss",1,0,0,0,0,0,0
"connect",1,0,1,0,0,0,0
"connecteda",1,0,0,0,0,0,0
"constant",1,0,0,0,0,0,0
"constitu",7,2,0,0,0,0,0
"constituencyal",1,0,0,0,0,0,0
"consult",1,0,0,0,0,0,0
"cont",0,0,0,1,0,0,0
"contain",1,0,0,0,0,0,0
"contest",2,1,0,0,0,0,0
"contrast",0,1,0,0,0,0,0
"contribut",1,0,0,0,0,0,0
"contributionrofl",1,0,0,0,0,0,0
"control",2,0,0,0,0,0,0
"controversi",0,1,0,0,0,0,0
"convict",0,0,0,1,0,0,0
"cook",0,0,0,0,0,1,0
"cooper",1,0,0,0,0,0,0
"copi",1,0,0,0,0,0,0
"core",3,0,0,0,0,0,0
"correct",0,1,0,0,0,0,0
"corrupt",7,0,0,1,0,0,0
"corruptiongiv",1,0,0,0,0,0,0
"corruptionquot",7,0,0,0,0,0,0
"could",7,0,0,0,0,0,0
"count",0,0,0,1,0,0,0
"countri",10,0,0,1,0,0,0
"countryjai",1,0,0,0,0,0,0
"cours",1,1,0,0,0,0,0
"court",27,1,0,0,0,0,0
"cover",0,1,0,0,0,0,0
"coz",1,0,0,0,0,0,0
"crack",1,0,0,0,0,0,0
"creat",4,0,0,0,0,0,0
"creation",1,0,0,0,0,0,0
"credenti",5,0,0,0,0,0,0
"credentialseconom",1,0,0,0,0,0,0
"credentialsth",1,0,0,0,0,0,0
"credit",3,1,0,1,0,0,0
"cri",3,0,0,0,0,0,0
"cricket",1,0,0,0,0,0,0
"critic",4,0,0,0,0,0,0
"crore",0,1,0,0,0,0,0
"cross",1,1,0,0,0,0,0
"crowd",1,0,0,0,0,0,0
"cure",0,0,1,0,0,0,0
"curiousi",1,0,0,0,0,0,0
"current",1,0,0,0,0,0,0
"currupt",1,0,0,0,0,0,0
"dad",1,1,0,0,0,0,0
"dadadadimamapapa",0,0,0,1,0,0,0
"dalal",1,0,0,0,0,0,0
"danger",1,0,0,0,0,0,0
"dani",3,0,0,0,0,0,0
"darbareven",1,0,0,0,0,0,0
"dare",4,0,0,0,0,0,0
"dash",2,5,0,0,0,0,0
"dataexpandedurl",119,12,0,2,0,0,0
"datapreembeddedtru",18,9,0,3,0,1,0
"dataquerysourcehashtagclick",551,48,15,14,2,5,0
"date",1,0,0,0,0,0,0
"dawn",4,0,0,0,0,0,0
"day",7,1,1,0,1,0,0
"daylong",3,1,0,0,0,0,0
"dear",8,6,0,0,0,0,0
"debat",4,0,1,0,0,0,0
"dec",0,1,0,0,0,0,0
"decid",0,0,1,0,0,0,0
"decidesreleas",1,0,0,0,0,0,0
"decis",6,2,0,1,0,0,0
"declar",1,0,0,0,0,0,0
"declin",1,0,0,0,0,0,0
"defam",1,0,0,0,0,0,0
"defeat",1,0,0,0,0,0,0
"defenc",1,0,0,0,0,0,0
"defend",0,0,1,0,0,0,0
"deficit",1,0,0,0,0,0,0
"definit",5,0,0,0,0,1,0
"defo",4,0,0,0,0,0,0
"degre",1,3,0,0,0,1,0
"degreediplomawhatev",1,0,0,0,0,0,0
"dehradun",0,1,0,0,0,0,0
"delhi",2,1,0,0,0,0,0
"deliv",0,1,0,0,0,0,0
"demand",5,0,0,0,0,0,0
"democraci",1,0,1,0,0,1,0
"democratis",1,0,0,0,0,0,0
"den",1,0,0,0,0,0,0
"depart",1,0,0,0,0,0,0
"depress",0,0,1,0,0,0,0
"depriv",2,0,0,0,0,0,0
"dept",1,0,0,0,0,0,0
"descript",1,0,0,0,0,0,0
"deserv",1,0,0,0,1,0,0
"design",16,0,0,0,0,0,0
"destroy",2,0,0,0,0,0,0
"detail",1,0,0,0,0,0,0
"detailrahul",5,0,0,0,0,0,0
"develop",0,1,0,0,0,0,0
"developedquotquotsc",0,1,0,0,0,0,0
"developmnt",0,1,0,0,0,0,0
"dgegre",1,0,0,0,0,0,0
"dharna",1,0,0,0,0,0,0
"dhoni",2,0,0,0,0,0,0
"dialogu",1,0,0,0,0,0,0
"dictatori",2,0,0,0,0,0,0
"did",6,2,0,0,0,0,0
"didquot",0,1,0,0,0,0,0
"die",0,1,0,1,0,0,0
"differ",2,2,0,0,0,0,0
"difficult",1,0,0,0,0,0,0
"difrnc",0,1,0,0,0,0,0
"dighvijay",0,1,0,0,0,0,0
"digitis",1,0,0,0,0,0,0
"dikhao",1,0,0,0,0,0,0
"dimag",1,0,0,0,0,0,0
"dint",2,0,0,0,0,0,0
"direct",2,0,0,0,0,0,0
"director",1,0,0,0,0,0,0
"dirltr",1138,107,27,22,7,10,1
"dirltrpictwittercombikaqkexfa",0,1,0,0,0,0,0
